Size, Seq, Par, Libc
1000000, 0.284880, 0.233753, 0.320669
1000000, 0.215528, 0.188900, 0.240023
2500000, 0.582889, 0.473846, 0.633279
2000000, 0.450706, 0.343411, 0.510261
3000000, 0.830199, 0.533753, 0.780817
1500000, 0.368554, 0.350042, 0.367484
3000000, 0.698012, 0.524368, 0.779226
1000000, 0.215957, 0.191761, 0.237587
1000000, 0.217745, 0.175597, 0.232310
3500000, 0.862280, 0.669322, 0.929860
2500000, 0.604516, 0.432361, 0.736085
2000000, 0.479894, 0.348187, 0.559621
2500000, 0.749820, 0.434543, 0.646884
3500000, 0.939263, 0.651867, 0.917935
2500000, 0.642625, 0.479689, 0.748782
2000000, 0.459763, 0.368217, 0.492821
3000000, 0.700534, 0.542632, 0.770920
2000000, 0.455685, 0.348522, 0.512386
3000000, 0.709690, 0.518003, 0.777029
2000000, 0.447071, 0.344647, 0.503300
1500000, 0.340591, 0.263730, 0.370077
1000000, 0.221795, 0.181942, 0.243100
3500000, 0.862166, 0.629953, 0.924933
1500000, 0.343852, 0.282228, 0.370204
3000000, 0.721381, 0.543197, 0.799673
1500000, 0.436843, 0.312094, 0.418453
2500000, 0.576628, 0.451347, 0.632002
1500000, 0.335044, 0.267003, 0.468548
3500000, 0.812833, 0.625189, 0.914277
3500000, 0.875203, 0.726928, 0.945362
