Size, Seq, Par, Libc
1600, 0.000223, 0.256834, 0.000191
1000, 0.000132, 0.061092, 0.000156
400, 0.000050, 0.090752, 0.000075
700, 0.000094, 0.099674, 0.000087
1000, 0.000134, 0.090612, 0.000121
1600, 0.000194, 0.160930, 0.000441
400, 0.000043, 0.074729, 0.000051
1600, 0.000199, 0.100251, 0.000193
1000, 0.000144, 0.052818, 0.000123
100, 0.000009, 0.019339, 0.000011
1000, 0.000122, 0.087782, 0.000123
100, 0.000009, 0.021355, 0.000011
1000, 0.000161, 0.097867, 0.000126
400, 0.000045, 0.062719, 0.000053
1600, 0.000202, 0.109070, 0.000199
1600, 0.000204, 0.098999, 0.000199
2200, 0.000365, 0.114619, 0.000316
400, 0.000053, 0.075621, 0.000055
100, 0.000010, 0.036484, 0.000012
2200, 0.000290, 0.162285, 0.000287
100, 0.000010, 0.032434, 0.000013
100, 0.000010, 0.051069, 0.000016
2200, 0.000366, 0.247038, 0.000329
1900, 0.000225, 0.134882, 0.000235
2200, 0.000282, 0.171310, 0.000272
1900, 0.000276, 0.108964, 0.000232
400, 0.000040, 0.054471, 0.000050
2200, 0.000352, 0.123045, 0.000280
1900, 0.000244, 0.164452, 0.000252
700, 0.000109, 0.103192, 0.000123
700, 0.000081, 0.080070, 0.000128
700, 0.000083, 0.069202, 0.000089
1300, 0.000162, 0.089627, 0.000162
1300, 0.000156, 0.104201, 0.000164
700, 0.000084, 0.071427, 0.000090
1900, 0.000253, 0.142494, 0.000254
1900, 0.000266, 0.107292, 0.000250
2500, 0.000435, 0.137487, 0.000325
2500, 0.000423, 0.136442, 0.000392
2500, 0.000322, 0.130950, 0.000324
1300, 0.000153, 0.108533, 0.000161
1300, 0.000154, 0.140866, 0.000183
1300, 0.000156, 0.133888, 0.000159
2500, 0.000314, 0.186445, 0.000313
2500, 0.000317, 0.121063, 0.000309
