Size, Seq, Par, Libc
110000, 0.019497, 0.218217, 0.019759
110000, 0.019524, 0.227372, 0.019668
110000, 0.019733, 0.237300, 0.019799
110000, 0.019992, 0.249432, 0.020522
110000, 0.020398, 0.194026, 0.019483
120000, 0.021336, 0.199677, 0.021577
120000, 0.021639, 0.214463, 0.021567
120000, 0.021954, 0.179663, 0.021501
120000, 0.022050, 0.237167, 0.021663
120000, 0.022325, 0.277270, 0.021566
130000, 0.023765, 0.246647, 0.023642
130000, 0.023791, 0.252388, 0.023098
130000, 0.023915, 0.245991, 0.023266
130000, 0.023992, 0.291567, 0.023444
130000, 0.028073, 0.279153, 0.023109
140000, 0.025540, 0.216405, 0.025002
140000, 0.025804, 0.230465, 0.025428
140000, 0.025831, 0.198198, 0.025300
140000, 0.026510, 0.192927, 0.025800
140000, 0.026716, 0.222108, 0.025295
150000, 0.028473, 0.387091, 0.035834
150000, 0.028753, 0.226789, 0.027608
150000, 0.028766, 0.201852, 0.027514
150000, 0.028987, 0.240788, 0.027765
150000, 0.029082, 0.202139, 0.026909
160000, 0.029089, 0.285426, 0.029278
160000, 0.029590, 0.254678, 0.029368
160000, 0.029639, 0.233938, 0.029273
160000, 0.029920, 0.252936, 0.029236
160000, 0.039135, 0.314017, 0.029229
